title,og_title,url,lang,content,publishedDate,dateObject,src
Railway employees seek facilities,Railway employees seek facilities,https://www.tribuneindia.com/news/punjab/railway-employees-seek-facilities/764680.html,,"ABOHAR: Members of the Uttariya (Northern India) Railway Mazdoor Union held protest at the local railway station against the non-fulfillment of their demands.
n Union secretary Ravinder Dubey said residential quarters for the employees were recommended in 2013, but the authorities failed to allot the same to the eligible employees. Many quarters that were constructed decades back had turned dilapidated, he said. OC",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
Protests continue to rock State,Protests continue to rock State,https://www.thehansindia.com/telangana/protests-continue-to-rock-state-523910,en,"Hyderabad: Telangana State is on the boil over Intermediate results fiasco. Student organisations and political parties staged protests across the State, including at Telangana Bhavan in New Delhi, Chief Minister's official residence at Pragati Bhavan here, Board of Intermediate Education, the outsourcing agency, Globarena office, and Ministers' residences. As part of intensifying the agitation, Telangana State Congress called for protests at all district Collectorates on Thursday.
A group of SFI students tried to barge into the Chief Minister K Chandrashekar Rao's camp office at Pragati Bhavan. Police foiled their attempt and arrested them. As a pre-emptive action to avert any untoward incidents, a large number of security personnel were deployed at the Chief Minister's official residence.
A group of ABVP activists stormed the residence of State Health Minister E Rajender in Karimnagar, protesting against the alleged indifference on the part of the State government in resolving the grievances of the students.
Ever since the announcement of the Intermediate results a week ago, the students' unions and parents were staging series of protests at the Board of Intermediate Education, demanding that the State government take stringent action against those involved in the announcement of the results with errors.
""Is this Bangaru Telangana,"" asked a protestor. ""Down down KCR and Intermediate Board."" ""We want justice"".. these are some of the slogans echoed against the Telangana government and against the Chief Minister on Wednesday in front of the Board of Intermediate Education. Congress senior leader V Hanumantha Rao also joined the chorus.
K Ramchander from Amberpet, a parent of Manasa, who failed in Maths and P Aruna Devi from Yousufguda demanded that the Board reconduct the exams if they failed to provide the scanned answer sheets. They said their children would show their talent by securing distinction in the exams.
They alleged the entire process of conducting the exams, correction and revaluation and the fiasco due to the negligence of the Board brought their children and them on to the roads. Some of the parents said if this is the situation it is better for their children to join in ITIs rather than sending them to higher education. They all demanded a speedy revaluation and clarifications on the marks as soon as possible to move ahead.
CPI activists took to the streets in the city and staged a sit-in in front of Globarena consultancy which was entrusted with the responsibility of preparation of mark sheets and processing of the applications. The agitating leaders were bundled into the police van and shifted to nearby police stations.",25 Apr 2019,2019-04-25 03:38:00,thehansindia
Farmers lay siege to GT Road,Farmers lay siege to GT Road,https://www.tribuneindia.com/news/ludhiana/farmers-lay-siege-to-gt-road/762930.html,,"Protest against non-procurement of discoloured wheat
Gurminder Singh Grewal
Khanna, April 23
A number of farmers and commission agents of Khanna blocked traffic on GT road, in front of Asia’s biggest grain market, Khanna, against the non purchase of discolored wheat crop.
The protesters raised slogans against the purchase agencies and state government and appealed the state government to amend the norms to purchase discolored wheat.
As per a commission agent Kamaljit Kamma, the officials of purchase agencies were terming the discolored wheat as luster loss and hence not purchasing the discolored wheat.
Gurnam Singh, a farmer of Mandiala Khurd village, alleged that they were being harassed in the name of discolored wheat and some trailers were even sent back by citing moisture to be the reason for purchase agencies not buying wheat. The officials of purchase agencies were not purchasing wheat in the name of discoloring.
The protesters alleged that the crop was already late due to weather and later rains hindered the harvesting of wheat crop and now the officials of purchasing agencies are harassing them in the name of discoloring.
Dalwinder Singh, secretary, market committee, when contacted said the norms were to be relaxed by state government in this regard, although they are pursuing the purchase agencies to purchase wheat as soon as possible.
He stated Pungrain had purchased some heaps of wheat and they are trying best for more purchase. Meanwhile, SDM Khanna Sandeep Singh when contacted said he was visiting the spot and the matter will be resolved soon.",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
Highway Mess: People associated with fruit and mutton business suffer huge loses,Highway Mess: People associated with fruit and mutton business suffer huge loses,https://thekashmirpress.com/2019/04/23/highway-mess-people-associated-with-fruit-and-mutton-business-suffer-huge-loses/,en,"Srinagar: People associated with mutton and fruit business are suffering huge losses due to callous attitude of authorities. They are alleging that their goods laden trucks are being halted for weeks without any reason on Srinagar-Jammu highway.
New Kashmir Fruit Association Mandi Parimpora has appealed the traders to shut their business establishments from April 29 on Monday. They called for an indefinite shutdown from Monday, April 29 against the stopping of fruit and vegetable-laden vehicles on Srinagar-Jammu highway for several days.
They said that during the shutdown all the gates of the Mandi will remain closed.
“Fruits and vegetables are perishable items. How can authorities mostly people from traffic department be so callous and stop trucks without any reason. The sole motive of these elements is to cripple the economy of Kashmir,” said a businessman.
Similarly people associated with mutton business threatened to go for an indefinite strike if trucks laden with live stock are stopped for weeks. They alleged that trucks with live stock (sheep and goats) coming from Delhi, Ambala, Amritsar and Jaipur towards Kashmir are being halted for weeks at Jakhani Chowk Udhampur.
“Due to stoppage of trucks, we suffer losses in lakhs as dozens of sheep and goats die. When we object to this unreasonable halting of trucks, the traffic men not only snatch the documents of the vehicles but also assault the drivers and conductors. This is injustice and we fail to understand why they are doing this,” a mutton dealer Muhammad Salim Mir told news agency CNS.
Scores of mutton dealers staged protest at Press Enclave Srinagar and alleged that authorities at Udhampur are keen to cripple the mutton business in Kashmir.",23 Apr 2019,2019-04-23 14:45:02,thekashmirpress
NCP Worker Thrashed After Showing Black Flag To Pragya Thakur In Bhopal,NCP Worker Thrashed After Showing Black Flag To Pragya Thakur In Bhopal,https://www.ndtv.com/india-news/ncp-worker-thrashed-after-showing-black-flag-to-pragya-thakur-in-bhopal-2027416,,"The NCP worker was beaten inside SDM office in Bhopal.
A Nationalist Congress party (NCP) worker was thrashed by the Bhartiya Janata Party (BJP) workers after he allegedly showed black flags to Pragya Thakur at SDM office in Madhya Pradesh's Bhopal today.
A video shows BJP workers raising slogans and slapping the NCP worker, following which he was taken away by the police from the SDM office.
Earlier in the day, Pragya Thakur, who is contesting against senior Congress leader Digvijaya Singh, held a roadshow in Bhopal. Yesterday, she had filed her nomination papers.
Pragya Thakur is among the seven accused facing trial in the Malegaon blast case, wherein six people were killed and a dozen others were injured when a bomb placed on a motorcycle exploded in Maharashtra's Malegaon on September 29, 2008.
On April 17, Pragya Thakur had formally joined the BJP. The move invited criticism from several opposition leaders who have slammed the BJP for fielding a terror accused in the Lok Sabha elections.
Pragya Thakur courted controversy when she made remarks in reference to Babri Masjid demolition and late Maharashtra Anti-Terrorism Squad (ATS) chief Hemant Karkare.
Subsequently, the Election Commission (EC) took cognisance and issued notices to Pragya Thakur for violating the Model Code of Conduct (MCC).
Polling in Bhopal Lok Sabha constituency will be held on May 12 and counting of votes will take place on May 23.
Get the latest election news, live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23.",06 Apr 2019,2019-04-06 00:00:00,ndtv
Crew beat up B'luru-bound passengers as bus breaks down,Crew beat up B'luru-bound passengers as bus breaks down,https://www.deccanherald.com/city/top-bengaluru-stories/crew-beat-up-bluru-bound-passengers-as-bus-breaks-down-729983.html,,"At least two students travelling from Kochi to Bengaluru were ""brutally beaten up"" by the staff of Suresh Kallada Tours and Travels for complaining about a broken bus and demanding alternative travel arrangements.
Shortly after a video of the beatings went viral on social media on Sunday, travellers from Bengaluru and Kerala demanded the suspension of the private bus operator's licence. Some narrated having faced a similar ordeal with the transporter's staff in the past.
Jacob Philip, an entrepreneur, was one of the passengers on the Kochi-Bengaluru bus. Midway through the journey, he narrated what happened in a Facebook post on Sunday morning.
Jacob said he boarded the bus at midnight at Haripad, Alappuzha district, and it broke down soon after. The Haripad police came to the spot after some time and found that the bus crew were being ""indifferent"" to the passengers and failed to promise them alternative travel arrangements.
The driver and the attendant then fled the scene. Police, too, expressed helplessness and left after 30 minutes. But the attendant was traced later and though his phone, Kallada was contacted. Passengers worried about their safety argued with the Kallada management. In the meantime, Kerala police officers reached the spot and convinced Kallada to arrange another bus by 3 am. The driver was brought to the spot and asked to proceed.
After an hour and a half of the journey, however, Kallada staffers waylaid the bus and started thrashing two young passengers who were vocal in their protest against the mismanagement. The situation turned ugly when the bus reached Vytala, Kochi, at 4.30 am. Over 10 goons dragged the two passengers out and beat them up. They did not allow other passengers to get off the bus. They let off the two youths after a lot of pleading. The bus finally reached Bengaluru at 4.30 pm instead of its scheduled arrival at noon.
Speaking to DH, Jacob said he was being threatened. ""I have been getting threats to delete the post. While I am going to Mumbai, 20 others were coming to Bengaluru,"" he added.
FIR registered
Following the incident, the Maradu police in the Kochi city registered a case of assault against three Kallada staffers.
According to the Maradu police, they had received information about the incident around 5.30 am and soon went to Vytilla, where they found the three youths who were assaulted. The youths said they were studying in Erode, Tamil Nadu.
No response from operator
Two of them were identified as Ajayagosh, from Thiruvananthapuram, and Mohammed, from Palakkad. Police asked them to go to a nearby hospital. But when the police reached the hospital later, they found the youths hadn't gone there. But since the footage of the incident had surfaced, police registered a case against three Kallada staffers. Further action would be taken soon, the station house officer of the Maradu police station said.
Police further said they tried contacting the tour operator's office in Kochi but there was no response. They later got in touch with Kallada through a travel operator at Haripad.",22 Apr 2019,2019-04-22 00:00:00,deccanherald
Farmers block highway demanding purchase of paddy,Farmers block highway demanding purchase of paddy,https://www.thehansindia.com/telangana/farmers-block-highway-demanding-purchase-of-paddy--523348,en,"Suryapet: Expressing their ire over delay in purchasing the paddy at PACS centre in Suryapet town, hundreds of farmers on Monday staged a protest on national highway and demanded the government to buy their paddy before the rains hit their paddy shifted to the procurement centre.
Speaking to the media, a few farmers questioned the officials as to how far it was correct to neglect the purchasing of paddy in the name of shortage of gunny bags and transporting lorries for the last one week.
They further informed that officials have not responded positively even after their repeated appeals to purchase the paddy shifted to procurement centre. After receiving the information, CI Shiva Shankar tried to convince the farmers to withdraw the protest, but in vain.
At last, farmers withdrew their dharna after assurance of immediate buying of paddy by Joint Collector D Sanjeeva Reddy personally. Vehicles on the either side of the national highway stalled for kilometers as the farmers' staged protest for more than an hour.",23 Apr 2019,2019-04-23 03:17:45,thehansindia
Another protest rocks PU over library timings,Another protest rocks PU over library timings,https://www.tribuneindia.com/news/chandigarh/another-protest-rocks-pu-over-library-timings/764397.html,,"Authorities relent, open reading room at AC Joshi library after 9 pm
Tribune News Service
Chandigarh, April 26
The tussle over libraries once again rocked Panjab University (PU) today.
The BJP-affiliated Akhil Bharatiya Vidyarthi Parishad (ABVP) put its foot down on the authorities’ decision to close off the reading room on the first floor of AC Joshi Library at 9 pm sharp. To control the situation from spiralling out of control, DSW (M) Emanuel Nahar, accompanied by Prashant Kumar Gautam, director, University Institute of Hotel and Tourism Management and PU chief security officer Ashwani Kaul, arrived at the spot and reopened the library at about 9.45pm.
The mode of conduct adopted by the varsity authorities was in utter contradiction with its day-old fiat by a team comprising Dean Student Welfare (M), Dean Student Welfare (W), library faculty and other professors, who, after much speculation and commotion, had agreed to open the reading hall of both, Guru Teg Bhadhur Bhawan and first floor hall of AC Joshi Library from 6 pm to 6 am.
Protesters claimed, when they visited the library at about 7pm, librarian Jivesh Bansal was heard telling students about the early closing of the reading room. “We reached there around 8 pm and the library staff was all set to pack up and leave. That’s when we all sat down at the threshold of the library to protest. Nevertheless, the librarian locked the gate at 9 pm and walked away,” said PU’s ABVP secretary Parwinder Singh Katora.
“That there was lack of security personnel and an in-charge who could run a graveyard shift at the library were justifications given to us by the librarian. When we volunteered to shoulder the task, Nahar sir arrived and the library was opened again,” shared PU’s ABVP President Kuldeep Singh.
He added, “Since October 9 last year, we have been submitting memorandums demanding that the library should be open to students for 24 hours. We also protested for four days at the VC office to get this reading hall opened. To our dismay, it was locked again, but we hope that now it will stay open.”
On Thursday, the PU’s team had opined that AC Joshi’s main reading hall has a capacity of more than 250 students which has occupancy rate of 80-90 per cent.
However, additional capacity can be generated in the main reading hall on need basis. Newspaper room can also be converted into a reading room after 5 pm with additional tables and chairs.",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
Vyttila office of Kallada Travels closed down,Vyttila office of Kallada Travels closed down,https://english.mathrubhumi.com/news/kerala/vyttila-office-of-kallada-travels-closed-down-1.3745301,en,"Kochi: The police have closed down the Vyttila office of Kallada Travels after finding that the agency has been transporting parcels illegally. Kochi range IG has issued a notice to owner Suresh Kallada to present himself before the police.
Kallada travels had come under legal action from transport department and police after a video showing passengers being thrashed by the crew was circulated on social media. Soon, a police complaint was filed. Now, documents have reportedly revealed that the travel agency was operating inter-state services illegally.
Moreover, the police have recovered several parcels from the agency office in Vyttila and are examining them. The office staff were unable to answer to police’s questions regarding the parcels. Primary investigations revealed that the travel agency had been transporting parcels under suspicious circumstances.
Moments before the police reached the Vyttila office of Kallada Travels, the office staff shifted a parcel that had landed at the office to another place. However, Youth Congress activists, who were taking out a protest to the agency office saw this and alerted the police. Following which the police started a probe into the missing parcel.
Maradu CI, who is leading the inspection has directed to close down the agency office. The police have also collected CCTV footages from the office. The police are looking into the parcels and parcel register to understand what exactly was being transported in the buses.
Kallada Travels operates several inter-state services. The complaints against the agency include rough treatment of passengers and excess fare. The passengers who were attacked had also complained of cut throat fares.
Ajay Ghosh, who was attacked said he would go ahead with the complaint. He said that the crew brutally attacked him. Transport commissioner said a detailed investigation was under way. Following the video, several people have taken to social media sharing their complaints and unpleasant experiences against the travel agency.
Read more: Kallada Travels bus permit to be cancelled; Minister seeks report
Read more: Police to take Kallada bus under custody; book more cases
Read more: Passengers thrashed by Kallada Travels bus crew; case booked",22 Apr 2019,2019-04-22 16:56:00,english.mathrubhumi
Anti-Shatrughan protest at Bihar Congress HQ,Anti-Shatrughan protest at Bihar Congress HQ,https://timesofindia.indiatimes.com/city/patna/anti-shatru-protest-at-state-cong-hq/articleshow/68997179.cms,en,"Download The Times of India News App for Latest City
PATNA: A group of around 24 people led by a Congress leader from Saran district held a demonstration outside the state Congress headquarters Sadaquat Ashram here on Monday, demanding cancellation of candidature of actor-turned-politician Shatrughan Sinha from Patna Sahib Lok Sabha constituency.Sinha, who won Patna Sahib seat twice in 2009 and 2014 as BJP candidate, joined the Congress a few weeks ago after meeting AICC president Rahul Gandhi in Delhi. He was later declared as Congress candidate from Patna Sahib where filing of nomination papers began on Monday.The demonstrators, who were holding placards in their hands, alleged that Shatrughan was “dropped through a parachute” at the RJD’s behest and has been made Congress candidate without consultation from the grassroots workers of the party. They alleged that senior Congress leaders “sold” the Patna Sahib seat to Shatrughan at the behest of RJD chief Lalu Prasad.Bihar Pradesh Congress Committee spokesperson Rajesh Rathore said except one of the demonstrators, who is a Congress leader from Chhapra, the others were unknown people. “They were never seen at the Congress office. We believe they were sent by the rival BJP,” Rathore told TOI.He said Shatrughan’s candidature from Patna Sahib has been decided by none other than the Congress high command. “Once the party’s high command takes a decision, no devoted Congress worker goes against it,” he said.Earlier on Sunday, Shatrughan was heckled at the Congress state headquarters while he was addressing a meeting of party workers.The star-turned-politician annoyed a section of Congress workers across the country, including Bihar, when he visited Lucknow a few days ago and campaigned for his wife Poonam Sinha , who is contesting the Lucknow seat on a Samajwadi Party ticket.Shatrughan drew flaks from a section of Congress workers after he described BSP supremo Mayawati and Samajwadi Party chief Akhilesh Yadav as prime ministerial candidates in Lucknow.",04 May 2019,2019-05-04 14:24:53,timesofindia.indiatimes
