,notes,label
21,"as report jan 31 , unidentifi arm group dress militari uniform kill mukhtar ( mahawish karim ) al naimiyah area gunfir al difar area near al naimiyah . ",2
22,"a drug suspect kill polic raid barangay mamatid , cabuyao town , laguna provinc either januari 30 31 , 2019 . ",2
23,"a drug suspect kill polic raid san fernando town , cebu provinc januari 31 , 2019 . ",2
24,"a polic offic suspect deal drug kill polic raid barangay bubuk , santa cruz town , laguna provinc either januari 30 31 , 2019 . ",2
25,"an aid town mayor shot kill unidentifi assail barangay aplaya , digo town , davao del sur provinc januari 31 , 2019 . ",2
26,"a drug suspect kill polic raid barangay san juan , cainta citi , rizal provinc either januari 30 31 , 2019 . ",2
27,"a drug suspect kill polic raid barangay san jose , rodriguez town , rizal provinc either januari 30 31 , 2019 . ",2
28,"a drug suspect kill polic raid barangay igulot , bocau town , bulacan provinc either januari 30 31 , 2019 . ",2
29,"on jan 31 , unidentifi gunmen shot injur worker sweater factori jamgora area ashulia ( savar , dhaka ) . the reason attack unknown . ",2
30,"on 31 jan , woman , believ relat slain al-badr command , shot dead suspect milit draggad villag shopian district , abduct earlier day locat pulwama district ( j & k ) . milit post video execut social media . ",2
31,"on 31 januari , rss leader , son , sever bjp member alleg thrash polic sasni gate station aligarh citi ( aligarh , uttar pradesh ) book road rage/accid alterc . ",2
32,"on 31 jan 2019 , trapa phla commune , chhuk district , kampot provinc , six men kill farmer land disput . the six arrest coupl day later . ",2
33,"31 januari . mayi mayi rene forc abduct man kigongo , uvira . the assail demand ransom . ",2
34,"31 januari . an unidentifi arm group kill man orac , uvira ( coordin avail ) . ",2
35,"31 januari . mayi mayi rene forc abduct woman nakiliba , uvira ( coordin approxim base kivu secur tracker map ) . the perpetr demand ransom . ",2
36,"on around jan 31st , sspdf soldier attack civilian ( includ rape women girl ) area yei ( central equatoria ) , accord statement issu ssnda rebel group . there inform time ( code one vac event ) . ",2
37,"on 31 januari 2019 , polish man polic detent center wamena town ( kabupaten jayawijaya , west papua ) visit men wear t-shirt `` brimob '' ( short name indonesia 's paramilitari polic ) assault threaten death prison guard watch . the polish man await trial treason meet papuan independ support . ",2
38,30 januari ( ) . imbonerakur serious assault fnl-rwasa support stick drown refus join cndd-fdd . ,2
39,"30 januari . a journalist , paul chouta , stab home yaound unidentifi arm group , follow string violenc journalist coverag opposit protest . ",2
40,30 januari . boko haram atack goumouldi villag kolofata near kerawa border . 2 civilian kill . ,2
41,"30 januari . heavili arm polic 3 truck raid razel area owendo , town outskirt librevill , break raid home , school , church shop well make arrest fire round civilian . ",2
42,"30 januari : unidentifi gunmen abduct kill civilian wote , makueni counti . ",2
43,"on januari 30 , unknown individu stabwound imam bamako . ",2
44,30 januari . unknown gunmen abduct apc chairman adamawa state demsa ,2
45,30 januari . unknown gunmen abduct chief press secretari taraba governor along five other bali-gembu road . ,2
46,30 januari . suspect al shabaab gunmen shot kill renown elder identifi hayesi mursal afgooy . ,2
47,"on jan 30 , mukhtar alleg also spi ( wissam al obeidi ) iraqi secur forc kill is gunfir near monshaat al nasr area al moshahada . ",2
48,"unidentifi gunmen report carri drive-bi shoot al-qiyada street capit citi sana ' , kill two citizen injur anoth one . ",2
49,a civilian shot kill unidentifi arm tribal gunman tribal `` tha'ir '' ( reveng ) . ,2
50,"a drug suspect kill polic raid barangay taloot , argao town , cebu provinc januari 30 , 2019 . ",2
51,"two drug suspect kill polic raid barangay prensa , balamban town , cebu provinc januari 30 , 2019 . ",2
52,"an activist peac consult nation democrat front shot kill unidentifi assail bus aritao town , nueva vizcaya provinc januari 30 , 2019 . ",2
53,"a drug suspect kill polic raid malolo citi , bulacan provinc week januari 30 , 2019 . ",2
54,"a drug suspect kill polic raid san jose del mont citi , bulacan provinc week januari 30 , 2019 . ",2
55,"a former villag chairman 2019 elect candid accus drug deal kill polic raid barangay binuahan , pilar town , sorsogon provinc januari 30 , 2019 . ",2
56,"a villag chairwoman candid congresswoman shot kill unidentifi assail quezon citi , metro manila januari 30 , 2019 . ",2
57,"on januari 30 , kuttikkattur town kozhikod tehsil ( kozhikod , kerala ) , arm cpm activist attack two bjp activist sword unknown reason , leav serious injur . ",2
58,"on januari 30 , journalist vernacular daili attack group men sharp weapon kendrapara district ( odisha ) , coverag kidnap news . the victim sustain critic injuri admit pattamundai communiti health centr . ",2
59,"on januari 30 , youth shot critic injur arm men sahadevkhunta polic station area balasor citi ( balasor , odisha ) . the reason behind attack ongo disput two group kantabania sanadahpada villag sand soil mine budhabalanga river region . ",2
60,"on januari 30 , penuganda town ( gadchiroli , maha ) , maoist milit kill one person suspect polic inform . ",2
61,"as report januari 30 , polic personnel alleg detain watchman khalabat township , subject tortur custodi haripur citi polic station haripur citi ( haripur , kp ) . ",2
62,"30 januari . two member polit opposit arrest tortur nation intellig servic gatet , rumong . the detaine involv land disput cndd-fdd leader intellig offic accus conspir arm group . ",2
63,30 januari ( around ) : a woman went miss . her bodi found citi mortuari kariobangi south februari 4th . no group claim respons yet ,2
64,30 januari . a group 5 polic offic arrest rape woman bo custodi . ,2
65,"around jan 30th ( exact date report ) , suspect secur forc stop man walk home , beat whip took wallet harar ( precis locat unknown ) . ",2
66,"around 30 januari , resid swai patti villag near samana ( samana , patiala , punjab ) alleg tortur subject electr shock polic detain question cyber-crim case . he commit suicid 2 feb . ",2
67,"a drug suspect shot kill vigilante-styl ambush kabankalan citi , negro occident provinc januari 30 , 2019 . ",2
68,"on 30 januari 2019 , polish man polic detent center wamena town ( kabupaten jayawijaya , west papua ) visit men wear t-shirt `` brimob '' ( short name indonesia 's paramilitari polic ) assault threaten death prison guard watch . the polish man await trial treason meet papuan independ support . ",2
69,30 januari . lra combat ambush five civilian 7 km south limai . the attack loot good civilian abduct three men . ,2
70,around jan 30th ( exact date report ) 15-year-old forc park chitungwiza three men wear armi camouflag ( suspect soldier ) carri rifl made lie concret tabl rape . ,2
71,30 januari ( around ) . chokw member attack injur luba man kamonia territori . the attack relat post-elect communal tension . ,2
72,"29 januari . an unidentifi group abduct seven peopl kalengera . three escap , perpetr demand ransom other . ",2
73,"on jan 27 29 , polic forc abduct least 6 activist cairo , giza daqahlia attend commemor 2011 revolut karama parti headquart . on jan 29 , egyptian photojournalist also abduct polic forc cairo airport . they taken unknown locat ",2
74,"on januari 29 , report presum gatia militiamen abduct six fulani men , execut thrown well kimarou area bangui mallam . ",2
75,"on januari 29th , report emerg suggest armi forcibl conscript youth disput twic gogrial state . the armi deni accus , state collect desert whilst gather inform forc area . ",2
76,islamist faction fighter oper part oper oliv branch arrest number resid bulbul countrysid varieti pretext . ,2
77,islamist faction oper part oper oliv branch gather resid sheikh al-hadid area demand pay thousand dollar royalti payment . when resid refus fighter hit member local council tortur young man . ,2
78,a white helmet syrian civil defens member shot wound unidentifi gunmen road kafr karmin kafr nasih . ,2
79,"on jan 29 2019 , isra forc sever beat palestinian ex-prison raid hous citi silwad ramallah . isra forc caus heavi properti damag fire tear gas insid hous beat arrest . ",2
80,"on jan 29 2019 , isra forc assault injur palestinian raid hous jenin refuge camp northern west bank . isra forc later detain brother . ",2
81,"on jan 29 2019 , isra forc assault palestinian mukhayyam al azzah checkpoint west bethlehem citi injur cut bruis . ",2
82,"on jan 29 , suspect is milit open fire cafe northern baghdad provinc , kill 3 civilian . ",2
83,"on jan 29 , two civilian ( alleg spi pmf ) kill is gunfir al malutha villag west mosul . ",2
84,"accord tribal sourc , houthi fighter fire sheep herder hamdan area sana ' , kill spark tribal tension region . the sourc impli victim unarm . ",2
85,"on 29 januari 2019 , tachileik township , eastern shan state , 50 year old businessman well-known shot dead two gunmen motorbik car stop traffic midday . his busi includ tapin shwe htee petrol station , gold shop , stone mine properti busi . ",2
86,"a drug suspect kill polic raid barangay san juan , san simon town , pampanga provinc around januari 29 , 2019 . ",2
87,"a drug suspect kill polic raid meycauayan town , bulacan provinc januari 29 , 2019 . ",2
88,"two drug suspect kill polic raid pulilan town , bulacan provinc januari 29 , 2019 . ",2
89,"two drug suspect kill polic raid baliuag town , bulacan provinc januari 29 , 2019 . ",2
90,"a watchman ( tanod ) kill suspect member npa barangay carol-an , kabankalan citi , negro occident provinc januari 29 , 2019 . victim home assum off-duti . ",2
91,"on 29 jan 2019 , tuy hoa , tuy hoa district , phu yen provinc , polic offic alleg kick man floor polic station . in contrast , polic state man drunk fell . the incid record video went viral . ",2
92,"on jan 29 , follow alterc , activist bcl stab sever injur unidentifi group men panbazar area , cox 's bazar citi ( cox 's bazar , chittagong ) . ",2
93,"on jan 29 , activist bcl stab injur unidentifi group men sathkira , khulna . reason attack yet known . ",2
94,"on 29 jan , indian soldier fire 3-4 suspect intrud ( assum pakistani civilian ) near basant river along wb samba sector area ( samba , j & k ) . no injuri report return gunfir . ",2
95,"on januari 29 , near peraiyur town ( madurai , tn ) dmk member stab anoth dmk member intern parti disput , leav man serious injur . ",2
96,"on 29 januari , polic constabl film open fire toll worker near nainit town ( nainit , uttarakhand ) . no reason known yet apprehend . the man injur . ",2
97,"29 januari . an unidentifi arm group loot loa numbi , kaleh . the assail forc man , woman three boy carri stolen properti . no indic releas . ",2
98,29 januari . a jsf soldier shot injur 3 teenag boy part group play near river luuq . motiv attack unknown . ,2
99,"on 29 januari 2018 , young man abduct near villag kaftin unidentifi gunmen . ",2
100,"as report januari 29 , prison tortur handcuf backward prison guard kirikkal f type prison . guard accus hit head prison across wall . ",2
101,"a drug suspect kill polic raid barangay dela paz nort , san fernando citi , pampanga provinc around januari 29 , 2019 . ",2
102,"on 29 januari 2019 , lashio township , shan state , local militia group villag headmen arrest mental disabl man . due beat food depriv custodi , die next day . his mother threaten group report polic . ",2
103,"on januari 28 , koglweogo militiamen abduct member fulani communiti villag koulpadr ( koulopagar ) , later releas safe sound . ",2
104,"on januari 28 , presum katiba macina ansaroul islam ( jnim ) milit visit school mougounougoboko , milit open fire hous unit teacher ransack pupil teacher fled area . ",2
105,"28 januari . an unidentifi arm group open fire mini bus civilian muyuka travel douala kumba . no casualti report , luggag search , like connect recent string militari arm theft . ",2
106,28 januari : oromo liber front soldier kill two farmer amaro woreda . ,2
107,"28 januari . dahalo attack civilian antsahak analamanga , sever injuri report . ",2
108,"28 januari . dahalo attack civilian ambodiriana antanifotsi , sever injuri report . ",2
109,"28 januari . dahalo attack civilian mangab arivonimamo , sever injuri report . ",2
110,"on januari 28 , presum iswap milit attack idp site filin barka locat 12km bosso ( code bosso georpecis 2 ) , four peopl kill other wound , hous , vehicl bag pepper torch . ",2
111,28 januari . unknown gunmen abduct apc chairman abia state isiala ngwa lga enugu-port harcourt expressway ,2
112,28 januari ( around ) . boko haram kill four farm attack molai villag ,2
113,"28 januari . boko haram attack rann kill least 60 peopl . sever hous burnt . amnesti intern report nigerian militari forc withdrew rann one day prior boko haram attack . 30,000 peopl fled cameroon . ",2
114,28 januari . a gunman dhulbahante/qayaad sub-clan shot serious injur man dhulbahante/baharsam sub-clan madareemin neighborhood lascanod . ,2
115,"on jan 28 2019 , isra secur forc station along border open fire palestinian farmer shepherd near dayr al balah citi . no injuri report . ",2
116,"on jan 28 2019 , isra forc open fire injur palestinian walk close border fenc abasan al jadida eastern khan yuni . ",2
117,"as report jan 28 , suspect is milit shot dead three iraqi civilian anbar provinc . secur forc found bodi desert west haditha district gunshot wound head . ",2
118,"a woman report kill pro-houthi sniper fire al-quhayfah area west taizz governor , southwestern yemen . ",2
119,"on 28 januari 2019 , ohn chaung villag , rathedaung township , rakhin state , myanmar militari conduct joint search border guard polic whole villag . the militari fire villag coupl school teacher two villag arrest interrog . ",2
120,"a drug suspect kill polic raid mabalacat town , pampanga provinc januari 28 , 2019 . ",2
121,"a drug suspect kill polic raid barangay macasandig , cagayan de oro citi , misami orient provinc januari 28 , 2019 . ",2
122,"on jan 28 , member unit peopl democrat front shot dead unidentifi milit vuochara area langadu upazila ( rangamati , chittagong ) . ",2
123,"on jan 28 , indian bsf shot dead bangladeshi man jagod area , ranishankail upazila ( thakurgaun , rangpur ) . bsf say bangladeshi nation cross border without valid doc . ",2
124,"on 28 jan , off-duti guard work j & k bank branch critic injur shot suspect milit walk home tral tehsil area ( pulwama , j & k ) . the man former soldier . ",2
125,"on 28 jan , civilian receiv minor injuri state forc fire vehicl fail stop joint polic armi checkpoint wussan villag pattan tehsil ( baramulla , j & k ) . ",2
126,"around 28 jan , polic alleg beat group local polic station reshipora villag ( pulwama , j & k ) youth went station pick friend polic custodi . ",2
127,"on januari 28 , group maoist torch passeng bus travel mahupadar motu near mundaguda area mathili block ( malkangiri , odisha ) . the group around 20-25 milit ask passeng deboard vehicl , set afir bus pour diesel . they assualt staff vehicl snatch mobil phone . ",2
128,"28 januari . an unidentifi arm group rob ambul abduct driver lubero general hospit , near itolero ( coordin approxim base kivu secur tracker map ) . the assail demand $ 5,000 ransom . ",2
129,"28 januari . lra forc attack fulani famili 42 km southeast sam ouandja , haut kotto . the assail abduct two boy stole four cattl . one boy later releas attack sever assault . ",2
130,"28 januari . lra combat loot two travel 11 km northeast bilikwa , haut-uel . they also loot anoth travel 6 km northeast bilikwa . the assail held men hostag hour releas . ",2
131,"on januari 27 , presum jnim and/or isg milit attack villag sikir , least nine peopl fouls communiti kill two sever wound , one tricycl three motorbik seiz , shop torch . ",2
132,27 januari . three arm men attack cndd-fdd member near nyabiker dam . the victim stab face manag escap . ,2
133,27 januari ( ) . a bodi discov ruvyironza river near giheta . the victim appear kill dump river . ,2
134,27 januari . 3 civilian abduct field around alagarno mora unidentifi arm group . ,2
135,"27 januari . an unidentifi arm group abduct six peopl mubambiro , includ two icrc employe . the perpetr also kill infant , abduct mother . ",2
136,"on jan 27 29 , polic forc abduct least 6 activist cairo , giza daqahlia attend commemor 2011 revolut karama parti headquart . on jan 29 , egyptian photojournalist also abduct polic forc cairo airport . they taken unknown locat ",2
137,"on januari 27 , unknown gunmen intercept four vehicl area tougou , vehicl passeng taken unknown locat . ",2
138,"on januari 27 , unknown gunman aboard motorbik shot dead civilian wound two other axi kadiolo-zegoua ( code kadiolo geoprecis 2 ) . ",2
139,"on januari 27 , arm group assault passeng two vehicl strip belong area ekrafan . ",2
140,27 januari . member ipob attack church aba attempt beat pastor . polic later respond call clear situat . ,2
141,27 januari ( around ) . unknown gunmen kill local apc chairman gwagwalada . his daughter kidnap crimin . ,2
142,"on 27-january-2019 , 1 attorney prosecutor kill taliban milit pd2 area kandahar citi . ",2
143,"on jan 27 2019 , isra forc attack larg number palestinian worker way work checkpoint 300 north bethlehem citi . eyewit state isra forc caus palestinian faint , suffoc sustain minor injuri . ",2
144,"on jan 27 2019 , isra forc fire shepherd area kosovim east khan yuni . ",2
145,"as report jan 27 , iraqi man wife shot dead suspect is milit al shurah , south mosul . ",2
146,"pro-houthi forc report kill man injur anoth citizen sniper fire hay district south hodeidah governor , western yemen . ",2
147,"unidentifi gunmen report storm militari prison taiz citi , southwestern yemen , kill imprison soldier . the soldier , belong 170th air defenc brigad , alleg tie islam state jail assassin sever member militari secur forc citi . small clash militari prison guard report took place kill gunmen fled . ",2
148,"on 27 januari 2019 , kunlong township , northern shan state , mndaa arrest 11 villag nam kyin san villag . this second time recent month villag forcibl recruit mndaa , caus mani villag flee . ",2
149,"on 27 jan 2019 , kon tum provinc , vietnam televis ( vtv ) report attack injur two unknown men . ",2
150,"on 27 januari , sarpanch companion attack sever unnam individu return republ day event near sriganganagar abohar town ( abohar , fazilka , punjab ) . both men hospit serious knife wound . ",2
151,"on januari 27 , journalist attack suspect drug peddler sepahijala district ( tripura ) . the journalist attack tail vehicl men drive , load cannabi . they beat , confisc mobil phone destroy camera . ",2
152,"on januari 27 , journalist attack suspect drug peddler sonamura tehsil area ( tripura ) . a group men dress secur personnel block vehicl beat . ",2
153,"on januari 27 , kinnakorai villag kundha taluk ( nilgiri , tn ) , polic assault two men , accus drunk . the two men hospit injuri . ",2
154,"on 27-january-2019 , gelang patah , iskandar puteri , johor , veget trader kidnap unidentifi arm assail . he releas five day . ",2
155,"27 januari . an arm group , spoke lingala unrecogn languag , abduct man 10 km west ngilima , haut uel . the abducte releas hour later . the group may link lra event report sourc track lra activ . ",2
156,"on jan 27th , peopl seiz uniform men driven remot area , beaten wooden club , whip made metal wire iron rod . militari implic polic file obtain sourc . a 22-year-old manag get home die hospit follow day . ",2
157,"on januari 27 , two prison report beaten prison guard gumushan prison deni stand roll-cal sing nation anthem . ",2
158,"between 24 26 januari 2018 , asayish forc arrest 70 individu town mansura raqqa provinc part raid seek cell oper behalf turkish forc . the raid also coincid protest popular resent kill young man asayish forc checkpoint 23rd . ",2
159,"on 26 januari , anti-houthi forc report open fire civilian graze livestock dar harun at tuhayat district , east zabid citi , western yemen , injur . ",2
160,"on januari 26 , presum jnim isg milit attack villag solhan , bar torch number men report taken unknown destin women strip cloth burn , owner bar personnel made town sebba sought refug gendarmeri . ",2
161,around jan 26th ( date locat unclear ) polic beat woman fit certif car expir . ,2
162,"on jan 26 , palestinian father son injur work farm dayr istiya , north salfit , attack settler axe . ",2
163,"on 26 januari , secur belt forc report open fire car attempt flee secur checkpoint al mahfad district , northeast abyan governor , southern yemen . the car subsequ hit roadblock . 2 civilian passeng die accid 1 injur . ",2
164,"haitham abdulrahman saeed al-siddiq , identifi petroleum engin , shot kill three unidentifi gunmen mudhaffar area taiz citi . ",2
165,"on 26 jan , bsf troop fire alleg pakistani intrud ( assum civilian ) along wb chak fakira samba district ( j & k ) . the man hospitalis serious injuri . ",2
166,"on januari 26 , youth hurl bomb car bjd youth presid dharmasala block , travel near nakapul villag ( jajpur , odisha ) . the victim sustain injuri right hand admit dharmasala communiti health centr ( chc ) . it suspect previous enmiti might reason behind attack . ",2
167,"on januari 26 , presum ansaroul islam ( jnim ) milit seiz vehicl ngo cssi abduct two staff member includ nurs driver area bourzanga . ",2
168,"on januari 26 , woman went miss midebdo , found behead outskirt villag januari 29 . ",2
169,26 januari . polic local chief tied-up tortur man butamuheba . they held man night tortur confess impregn woman . ,2
170,26 januari ( around ) . the bodi cndd-fdd member discov busimba . the victim 's arm tongu cut . ,2
171,"26 januari . after flee bambari , upc fighter kill two civilian yamalet ( coordin avail ) , 30 km bambari along bambari-balaka road . ",2
172,26 januari . mayi mayi rape three women kwebo ( coordin avail ; locat masisi territori ) . ,2
173,26 januari . unknown gunmen polic militari uniform ( assum state forc ) storm footbal view centr birnin magaji abduct seven peopl . ,2
174,26 januari . a polic offic shot dead benin citi unknown gunmen . the victim way home off-duti . ,2
175,"on 26 januari 2019 , tha mee hla villag , rathedaung township , rakhin state , myanmar militari 99th lid raid villag . they fire villag , injur two women child later die . mani home hit artilleri shell bullet . the myanmar militari order villag home beat . the gold , cash , jewelri mobil phone villag loot . ",2
176,"on 26 jan 2019 , tuyen quang provinc , man , arm rock hammer , attack journalist vietnam news agenc ( vna ) , report illeg exploit lead zinc northern provinc . ",2
177,"as report januari 27 , rjd leader kill sripur villag cheria-bariyarpur polic station area ( begusarai , bihar ) . his bodi found near brick kiln januari 26 famili member . the reason behind murder unknown . ",2
178,"26 januari . raia mutomboki kokodikoko raia mutomboki ngandu loot tachinid , shabunda ( coordin approxim base kivu secur tracker map ) . the assail kill man attack . ",2
179,"on jan 26 , dead bodi suspect rapist found outsid boltala villag , shaulakania union ( jhalokati , baris ) kill unidentifi vigilant . he disappear jan 22 . a confession statement found hang around victim 's neck . he one four supect connect rape murder 18-year-old femal garment worker found dead hous januari 7 . the fourth suspect shot dead gunfight polic jan 29 chittagong . ",2
180,"assum januari 26 , villag kill group communist parti india-maoist ( cpi-maoist ) cadr abduct jaravandi villag etap tehsil area ( gadchiroli , maharashtra ) , suspicion polic inform . he found dead januari 27 . ",2
181,"around 26 jan 2019 , bangkok , vietnames blogger radio free asia ( rfa ) appear gone miss appli asylum un refuge agenc . ",2
182,"sinc 26 januari 2019 , popular blogger miss sinc fled home da nang . it surmis abduct imprison interrog . sourc claim blogger sought asylum thailand 25 januari 2019 unhcr bangkok , thai govern say record enter countri . ",2
183,ypg forc carri campaign arrest citi shadadah purpos forc men militari servic . ,2
184,ahrar al sharqiyah fighter beat old man ma'btali sub-district refus give royalti 8 tank oliv oil cash equival . ,2
185,ahrar al sharqiyah fighter stab three young displac men eastern ghouta al villat street citi afrin . the reason stab remain unclear . no fatal report . ,2
186,"unidentifi gunmen beat chairman `` qalamoun town committe '' citi afrin stole money , laptop , possess well . ",2
187,turkish border guard shot kill 1 woman injur sever other tri cross turkey darkosh area . ,2
188,"on januari 25 , presum jnim and/or isg milit abduct marabout also deputi imam boukari villag , victim behead petoy oursi ( code petoy geoprecis 2 ) dump side road . ",2
189,"25 januari . 5 student abduct secondari school near natcho bamenda unidentifi arm group , cameroon govern offici ambazonian separatist blame ongo abduct . ",2
190,25 januari . 2 lawyer abduct buea near mile 16 neighborhood unidentifi arm group . cameroon govern offici ambazonian separatist blame ongo abduct . ,2
191,"januari 24-januari 25 . boko haram attack ngosi toufou mayo tsanaga , leav 1 woman injur , 193 burn hut , two rocket-destroy classroom , one health center destroy , 6 shop broken , well food , ambul drug stolen . ",2
192,"januari 24-januari 25 . boko haram attack ngosi toufou mayo tsanaga , leav 1 woman injur , 193 burn hut , two rocket-destroy classroom , one health center destroy , 6 shop broken , well food , ambul drug stolen . ",2
193,"januari 24-januari 25 . boko haram attack kerawa kolofata , kill one civilian . ",2
194,"25 januari . a train ngaounder go yound goyoum station attack unidentifi arm group leav station . shot fire train car , injuri report . ",2
195,"on januari 25 , dozo shot dead two civilian wound three other villag bingo area monimpebougou ( code monimpebougou geoprecis 2 ) . ",2
196,"25 januari . bassa militia attack tudu uku villag kill three resid . a militari man civil defenc offic injur . militia burnt seven hous , car motorcycl . ",2
197,"on januari 25th , mourner gather khartoum commemor death two peopl demonstr previous day . secur forc ( code polic ) fire tear gas crowd . ",2
198,"on januari 25th , polic use tear gas live round cannabi user kabal town , arrest five . there report injuri . ",2
199,"around jan 25th ( date specifi ) , two bulawayo women beaten soldier polic forc perform unprotect intercours secur guard . ",2
200,"on 25-january-2019 , 2 civilian kill 4 wound unidentifi arm milit chashma shir area aybak district , samangan provinc . ",2
201,"on 25 januari , anti-houthi forc report shot civilian , injur , ar ramiyah as sukhnah district , east al hudaydah citi , western yemen . ",2
202,"on jan 25 , jubo leagu activist kill brother sustain injuri arm attack unidentifi milit rothkhola area kishoreganj , dhaka . ",2
203,"on 25 januari , bjp councillor ward 8 ludhiana ( ludhiana , punjab ) sever accomplic alleg attack youth knife div . 3 polic station . no reason given attack , councillor refut . ",2
204,"on januari 25 , cherpu villag thrissur tehsil ( thrissur , kerala ) , unidentifi actor , believ right-w activist , assault director priyanandan made social media post sabarimala issu . ",2
205,"on januari 25 , kakrali polic alleg tortur brick kiln owner kakrali villag ( gujrat , punjab ) , result death custodi . ",2
206,"a drug suspect kill polic raid barangay sampaloc , talavera town , nueva ecija provinc januari 25 , 2019 . ",2
207,25 januari . imbonerakur assault member frodebu mirango . they accus adulteri . ,2
208,25 januari . a fnl-rwasa member beaten death home kigarama suspect imbonerakur member ,2
209,25 januari . imbonerakur assault strip man ngugo . they also stole phone . the perpetr arrest . ,2
210,"around jan 25th ( exact date specifi ) , journalist amed aboubakar , jail mueda militari base , report deni food , repeat beaten made sleep handcuff . ",2
211,"25 januari . polic forc beat civilian loiter , die custodi day . ",2
212,"25 januari . resid phomolong villag welkom , fatal stab man alleg stab wife . ",2
213,"on jan 25th , machet knobkerri wield gang besieg night spot zhomb random attacekd peopl bar . one person kill , sever other remain injur . ",2
214,"on 25 januari , four peopl attack schedul cast famili chabacha kalan villag solan district ( solan , himach pradesh ) cudgel , appar land disput , leav sever victim serious injur . ",2
215,25 januari . an unidentifi arm group abduct man muhani ( coordin approxim base kivu secur tracker map ) . the assail demand $ 700 ransom . ,2
216,25 januari . nyatura niyonzimana abduct one man karambi loot home . ,2
217,"25 januari . an unidentifi arm group kill man kitalaga , kaleh ( coordin approxim base kivu secur tracker map ) . ",2
218,"25 januari : in east welega zone , sasiga woreda , two member ethiopian militari forc broke civilian 's hous night rape woman . they brought court three week later sentenc 14 year prison ",2
219,a suspect arrest rebel forc town al bab motorcycl ie kill injur sever peopl . ,2
220,ypg forc carri campaign arrest citi shadadah purpos forc men militari servic . ,2
221,"on januari 24 , unknown gunmen abduct two civilian kacham . ",2
222,"januari 24 ( night ) . boko haram attack presbyteri mangirlda , leav least three priest kill , includ american , 12 other injur . popul arrest three assail . ",2
223,24 januari . a drunken upc soldier open fire civilian funer djama-yakania neighborhood ippi . 13 civilian kill approxim 20 other shot injur ( sourc indic greater number casualti ) . ,2
224,"24 januari . an anti-balaka group kill three civilian , includ woman child , along road near alindao . ",2
225,"24 januari ( ) . adf forc ambush driver rn 4 , kisiki-mayimoya . three peopl kill , two injur . three okapi vehicl also intercept driver harm . ",2
226,24 januari : polic kill suspect thief . the resid insist innoc man victim extrajudici kill ,2
227,24 januari . dahalo abduct kill businessman along cattl ambohimahasoa vondrozo . a clash ensu later ( code separ ) . ,2
228,"24 januari . unknown arm men kidnap apc candid edo state hous assembl , mr michael ohio-ezomon hous eme-ora ",2
229,24 januari . suspect as fighter carri hit run attack district commission 's resid howlwadag district . the attack start hand grenad follow heavi machin gun . ,2
230,"on januari 24th , three arm men ( wear militari uniform ) kill farmer near karu villag ( coordin tawila , north darfur , use ) . there inform . ",2
231,"on januari 24th , unknown gunmen kill man gather firewood near katur ( north darfur ) . there inform . ",2
232,"around jan 24th ( date specifi ) , polic shot two peopl seshek , refus take part pf ralli . ",2
